ENS ID,Transcript length (including UTRs and CDS),Chromosome,HGNC symbol
ENSG00000234962,2.097,10,LINC00700
ENSG00000148481,2.452,10,MINDY3
ENSG00000226694,0.432,10,
ENSG00000231326,0.587,10,LINC02662
ENSG00000227912,2.321,10,
ENSG00000107554,4.178,10,DNMBP
ENSG00000234556,0.742,10,LINC00701
ENSG00000227695,0.474,10,DNMBP-AS1
ENSG00000273497,0.194,10,
ENSG00000174721,2.545,10,FGFBP3
ENSG00000272817,0.571,10,
ENSG00000234170,0.756,10,LINC02645
ENSG00000237500,0.332,10,
ENSG00000235281,0.918,10,
ENSG00000231743,0.421,10,
ENSG00000095564,7.249,10,BTAF1
ENSG00000120054,1.863,10,CPN1
ENSG00000234182,0.608,10,
ENSG00000273001,0.578,10,
ENSG00000178217,3.983,10,SH2D4B
ENSG00000232230,0.807,10,TPM4P1
ENSG00000283232,0.992,10,CYP2C23P
ENSG00000231082,0.37,10,LINC02655
ENSG00000233353,0.586,10,RPS7P9
ENSG00000233703,0.405,10,
ENSG00000231060,1.778,10,FARSBP1
ENSG00000227209,0.537,10,WARS2P1
ENSG00000226466,0.796,10,RPA2P2
ENSG00000237913,0.394,10,FTLP19
ENSG00000165813,7.228,10,CCDC186
ENSG00000226140,0.435,10,LINC02654
ENSG00000165985,2.376,10,C1QL3
ENSG00000270623,0.608,10,SPCS2P2
ENSG00000165983,1.203,10,PTER
ENSG00000229458,0.527,10,
ENSG00000185737,3.811,10,NRG3
ENSG00000225738,0.28,10,NRG3-AS1
ENSG00000285739,1.51,10,
ENSG00000107864,7.664,10,CPEB3
ENSG00000165886,1.647,10,UBTD1
ENSG00000213484,1.19,10,EIF4A1P8
ENSG00000214549,0.501,10,SDHCP2
ENSG00000105988,0.462,10,NHP2P1
ENSG00000107897,3.903,10,ACBD5
ENSG00000254271,0.434,10,ANK3-DT
ENSG00000237399,0.541,10,PITRM1-AS1
ENSG00000278419,0.447,10,
ENSG00000107959,0.778,10,PITRM1
ENSG00000107566,3.487,10,ERLIN1
ENSG00000170312,0.723,10,CDK1
ENSG00000138175,3.834,10,ARL3
ENSG00000067057,0.432,10,PFKP
ENSG00000225213,0.697,10,
ENSG00000148484,3.919,10,RSU1
ENSG00000156398,0.77,10,SFXN2
ENSG00000198060,3.922,10,5-Mar
ENSG00000234931,2.186,10,MARK2P15
ENSG00000233945,0.351,10,LINC02650
ENSG00000232709,1.727,10,MARK2P9
ENSG00000223565,0.988,10,
ENSG00000233258,0.309,10,
ENSG00000212769,0.268,10,HMGN2P8
ENSG00000165678,2.382,10,GHITM
ENSG00000236308,0.578,10,
ENSG00000213341,3.6,10,CHUK
ENSG00000271933,2.163,10,
ENSG00000165887,1.451,10,ANKRD2
ENSG00000070748,2.124,10,CHAT
ENSG00000203942,1.208,10,C10orf62
ENSG00000241935,2.581,10,HOGA1
ENSG00000155252,4.189,10,PI4K2A
ENSG00000249967,1.848,10,
ENSG00000171160,2.333,10,MORN4
ENSG00000119912,5.877,10,IDE
ENSG00000204179,1.929,10,PTPN20
ENSG00000072422,4.411,10,RHOBTB1
ENSG00000285972,1.874,10,CERNA2
ENSG00000188373,0.825,10,C10orf99
ENSG00000187714,2.411,10,SLC18A3
ENSG00000236958,0.207,10,
ENSG00000150275,9.237,10,PCDH15
ENSG00000227492,0.846,10,
ENSG00000230224,0.825,10,PHBP9
ENSG00000095485,2.402,10,CWF19L1
ENSG00000227244,0.696,10,LINC00845
ENSG00000196932,2.61,10,TMEM26
ENSG00000107611,11.933,10,CUBN
ENSG00000237233,0.863,10,TMEM26-AS1
ENSG00000148600,6.877,10,CDHR1
ENSG00000181274,2.213,10,FRAT2
ENSG00000225850,0.805,10,
ENSG00000178645,2.415,10,C10orf53
ENSG00000238021,0.643,10,ARMC4P1
ENSG00000230445,5.444,10,LRRC37A6P
ENSG00000262412,1.002,10,
ENSG00000196072,2.024,10,BLOC1S2
ENSG00000108039,4.384,10,XPNPEP1
ENSG00000184111,0.436,10,RPL11P4
ENSG00000138160,5.016,10,KIF11
ENSG00000236493,0.999,10,EIF2S2P3
ENSG00000166272,4.129,10,WBP1L
ENSG00000148795,1.722,10,CYP17A1
ENSG00000152804,1.724,10,HHEX
ENSG00000107593,2.79,10,PKD2L1
ENSG00000119986,1.375,10,AVPI1
ENSG00000278830,0.292,10,
ENSG00000215409,0.808,10,
ENSG00000155254,0.61,10,MARVELD1
ENSG00000155256,3.047,10,ZFYVE27
ENSG00000260151,1.395,10,LINC02673
ENSG00000272592,0.497,10,
ENSG00000183346,1.29,10,CABCOCO1
ENSG00000197444,3.706,10,OGDHL
ENSG00000213770,0.574,10,FAM210CP
ENSG00000237956,0.225,10,TRIAP1P1
ENSG00000182077,3.595,10,PTCHD3
ENSG00000204033,3.081,10,LRIT2
ENSG00000138190,2.714,10,EXOC6
ENSG00000148604,2.363,10,RGR
ENSG00000233643,0.51,10,LINC02625
ENSG00000150347,7.492,10,ARID5B
ENSG00000231188,0.471,10,
ENSG00000225118,0.198,10,
ENSG00000148602,2.228,10,LRIT1
ENSG00000120057,1.883,10,SFRP5
ENSG00000226425,0.442,10,
ENSG00000231970,0.548,10,
ENSG00000052749,1.919,10,RRP12
ENSG00000099194,5.245,10,SCD
ENSG00000279607,0.567,10,
ENSG00000285846,1.641,10,
ENSG00000213061,0.389,10,PFN1P11
ENSG00000187553,2.878,10,CYP26C1
ENSG00000095596,2.245,10,CYP26A1
ENSG00000214435,2.45,10,AS3MT
ENSG00000235823,1.184,10,OLMALINC
ENSG00000270316,2.67,10,BORCS7-ASMT
ENSG00000235266,0.315,10,RPL22P17
ENSG00000166275,2.422,10,BORCS7
ENSG00000282772,0.562,10,
ENSG00000236937,0.356,10,PTGES3P4
ENSG00000226389,1.053,10,MAPK6P6
ENSG00000229870,0.467,10,RPL21P89
ENSG00000075290,2.112,10,WNT8B
ENSG00000231508,0.351,10,RPL34P20
ENSG00000236968,0.597,10,
ENSG00000286029,0.585,10,
ENSG00000230166,0.33,10,RPL35AP24
ENSG00000178440,3.593,10,LINC00843
ENSG00000285803,1.152,10,
ENSG00000204152,2.623,10,TIMM23B
ENSG00000204149,1.476,10,AGAP6
ENSG00000227345,4.128,10,PARG
ENSG00000226762,2.361,10,LINC02668
ENSG00000227338,0.463,10,
ENSG00000233321,0.832,10,LINC02669
ENSG00000236892,0.43,10,
ENSG00000229404,2.685,10,LINC00858
ENSG00000182010,2.383,10,RTKN2
ENSG00000232805,0.512,10,NIP7P1
ENSG00000237417,1.805,10,XRCC6P1
ENSG00000213432,0.555,10,RPL17P34
ENSG00000234756,0.706,10,LINC02621
ENSG00000148700,0.697,10,ADD3
ENSG00000285837,3.379,10,
ENSG00000138311,3.988,10,ZNF365
ENSG00000285551,2.695,10,
ENSG00000229672,0.759,10,
ENSG00000095627,3.705,10,TDRD1
ENSG00000107771,7.653,10,CCSER2
ENSG00000228353,0.313,10,
ENSG00000203876,1.882,10,ADD3-AS1
ENSG00000225928,0.684,10,CACYBPP1
ENSG00000233189,0.457,10,RPL12P29
ENSG00000225423,1.138,10,TNPO1P1
ENSG00000181915,3.627,10,ADO
ENSG00000234489,0.178,10,ALDH7A1P4
ENSG00000238280,0.723,10,
ENSG00000067082,0.764,10,KLF6
ENSG00000272912,0.82,10,
ENSG00000235618,2.177,10,FAM21EP
ENSG00000138119,4.812,10,MYOF
ENSG00000226631,2.229,10,SLC9A3P3
ENSG00000230573,0.536,10,LINC02639
ENSG00000226005,0.705,10,LINC02660
ENSG00000227101,0.633,10,
ENSG00000236990,2.287,10,
ENSG00000233117,6.3,10,LINC00702
ENSG00000266524,2.677,10,GDF10
ENSG00000263761,1.955,10,GDF2
ENSG00000230165,0.333,10,AURKAP2
ENSG00000275024,0.534,10,
ENSG00000165816,2.875,10,VWA2
ENSG00000178429,0.821,10,RPS3AP5
ENSG00000122877,1.075,10,EGR2
ENSG00000076685,3.365,10,NT5C2
ENSG00000237267,2.029,10,LINC01519
ENSG00000223993,0.403,10,LINC02647
ENSG00000224504,2.672,10,
ENSG00000265203,4.276,10,RBP3
ENSG00000224382,2.39,10,LINC00703
ENSG00000265763,3.516,10,ZNF488
ENSG00000230962,1.487,10,LINC01520
ENSG00000279910,4.236,10,
ENSG00000280134,1.953,10,
ENSG00000230096,0.691,10,
ENSG00000213277,0.541,10,MARCKSL1P1
ENSG00000225269,1.745,10,LINC00705
ENSG00000237827,0.4,10,RPS15AP29
ENSG00000148842,15.857,10,CNNM2
ENSG00000231298,1.478,10,MANCR
ENSG00000265190,1.971,10,ANXA8
ENSG00000182771,6.154,10,GRID1
ENSG00000234173,2.3,10,
ENSG00000236744,0.439,10,
ENSG00000228048,0.436,10,
ENSG00000224697,1.006,10,NEFMP1
ENSG00000234942,2.1,10,GRID1-AS1
ENSG00000223800,0.316,10,
ENSG00000249860,0.739,10,MTRNR2L5
ENSG00000236606,0.408,10,
ENSG00000270002,2.619,10,
ENSG00000233011,1.685,10,SLC9A3P1
ENSG00000188611,6.88,10,ASAH2
ENSG00000169129,3.722,10,AFAP1L2
ENSG00000270369,0.298,10,
ENSG00000189090,0.374,10,FAM25G
ENSG00000254929,1.594,10,
ENSG00000251079,1.858,10,BMS1P2
ENSG00000225137,1.838,10,DYNC1I2P1
ENSG00000224919,0.234,10,
ENSG00000204172,2.387,10,AGAP9
ENSG00000099290,4.623,10,WASHC2A
ENSG00000165568,0.754,10,AKR1E2
ENSG00000279796,2.954,10,
ENSG00000062650,3.207,10,WAPL
ENSG00000229668,0.351,10,
ENSG00000228484,2.378,10,
ENSG00000099204,6.841,10,ABLIM1
ENSG00000166135,1.042,10,HIF1AN
ENSG00000166136,0.39,10,NDUFB8
ENSG00000075826,4.634,10,SEC31B
ENSG00000227356,0.418,10,LINC00866
ENSG00000095713,2.179,10,CRTAC1
ENSG00000224301,0.505,10,
ENSG00000148572,1.813,10,NRBF2
ENSG00000228169,0.492,10,PPIAP19
ENSG00000155265,6.843,10,GOLGA7B
ENSG00000255339,1.952,10,
ENSG00000235816,0.643,10,PRELID1P3
ENSG00000171988,1.305,10,JMJD1C
ENSG00000138180,2.638,10,CEP55
ENSG00000138207,1.07,10,RBP4
ENSG00000273153,0.25,10,
ENSG00000107614,8.23,10,TRDMT1
ENSG00000186188,3.605,10,FFAR4
ENSG00000215065,1.761,10,DUSP8P4
ENSG00000265630,0.203,10,GLUD1P8
ENSG00000266217,0.394,10,CTSLP2
ENSG00000264404,1.206,10,
ENSG00000189014,2.712,10,SHLD2P3
ENSG00000226964,0.6,10,RHEBP2
ENSG00000165476,5.172,10,REEP3
ENSG00000277758,5.321,10,
ENSG00000272767,1.335,10,JMJD1C-AS1
ENSG00000270421,0.36,10,
ENSG00000224412,0.178,10,
ENSG00000234369,0.891,10,TATDN1P1
ENSG00000273760,0.826,10,
ENSG00000264717,1.956,10,NPY4R2
ENSG00000276850,0.376,10,
ENSG00000276430,0.319,10,FAM25C
ENSG00000095464,3.307,10,PDE6C
ENSG00000151631,0.983,10,AKR1C6P
ENSG00000227896,3.058,10,
ENSG00000230507,0.804,10,RPL7AP8
ENSG00000166024,3.379,10,R3HCC1L
ENSG00000265018,2.359,10,AGAP12P
ENSG00000270025,1.052,10,BMS1P7
ENSG00000278561,0.92,10,PTPN20CP
ENSG00000226200,12.4,10,SGMS1-AS1
ENSG00000198964,3.717,10,SGMS1
ENSG00000122375,2.383,10,OPN4
ENSG00000225303,0.373,10,
ENSG00000279863,1.586,10,
ENSG00000231588,1.544,10,SHQ1P1
ENSG00000148690,3.109,10,FRA10AC1
ENSG00000171314,1.802,10,PGAM1
ENSG00000171311,0.923,10,EXOSC1
ENSG00000234961,0.706,10,
ENSG00000026025,2.154,10,VIM
ENSG00000232075,0.511,10,MRPL35P2
ENSG00000270352,0.448,10,
ENSG00000213609,0.795,10,RPL7AP50
ENSG00000228566,0.794,10,
ENSG00000226426,0.622,10,
ENSG00000235489,1.892,10,DBF4P1
ENSG00000233900,0.549,10,RPL17P35
ENSG00000270648,0.29,10,CYP2C61P
ENSG00000216740,1.008,10,ANXA2P3
ENSG00000224714,2.572,10,LINC02671
ENSG00000270754,0.544,10,NEK4P3
ENSG00000215760,0.499,10,TAF9BP2
ENSG00000151553,5.774,10,FAM160B1
ENSG00000229124,1.351,10,VIM-AS1
ENSG00000122367,2.314,10,LDB3
ENSG00000229256,1.092,10,ST13P13
ENSG00000235376,2.13,10,RPEL1
ENSG00000231345,2.762,10,BEND3P1
ENSG00000148798,3.251,10,INA
ENSG00000226428,0.645,10,RPL15P13
ENSG00000226734,0.213,10,SNRPGP12
ENSG00000282906,0.92,10,
ENSG00000227173,0.432,10,MYL6P3
ENSG00000233724,0.761,10,
ENSG00000156374,1.95,10,PCGF6
ENSG00000165832,3.406,10,TRUB1
ENSG00000232706,2.498,10,NUTM2HP
ENSG00000226168,0.39,10,
ENSG00000272631,6.545,10,
ENSG00000236799,0.344,10,LINC02626
ENSG00000235356,0.607,10,
ENSG00000108231,2.239,10,LGI1
ENSG00000285582,6.449,10,
ENSG00000107518,1.701,10,ATRNL1
ENSG00000270965,0.646,10,NTAN1P1
ENSG00000230011,1.002,10,CTSLP4
ENSG00000280660,8.444,10,
ENSG00000280485,0.444,10,
ENSG00000285786,1.811,10,
ENSG00000170324,2.699,10,FRMPD2
ENSG00000148488,0.697,10,ST8SIA6
ENSG00000270874,1.168,10,RPAP2P1
ENSG00000107779,5.632,10,BMPR1A
ENSG00000204832,0.557,10,ST8SIA6-AS1
ENSG00000228065,0.559,10,LINC01515
ENSG00000236582,0.851,10,PRPF38AP2
ENSG00000213667,1.023,10,PGGT1BP1
ENSG00000225299,0.505,10,
ENSG00000273360,0.559,10,
ENSG00000226448,0.76,10,RPL7AP51
ENSG00000277056,0.248,10,
ENSG00000165996,2.234,10,HACD1
ENSG00000183230,10.696,10,CTNNA3
ENSG00000198739,6.049,10,LRRTM3
ENSG00000173915,0.882,10,ATP5MD
ENSG00000187134,2.637,10,AKR1C1
ENSG00000148835,3.259,10,TAF5
ENSG00000261011,1.74,10,
ENSG00000272508,1.238,10,
ENSG00000173269,4.127,10,MMRN2
ENSG00000188100,0.357,10,FAM25A
ENSG00000148671,0.917,10,ADIRF
ENSG00000213606,0.942,10,AKR1B10P1
ENSG00000225922,0.476,10,RPL21P92
ENSG00000229969,0.234,10,
ENSG00000273413,0.465,10,
ENSG00000240089,0.932,10,BMS1P3
ENSG00000173267,0.641,10,SNCG
ENSG00000151303,4.56,10,
ENSG00000272734,2.205,10,ADIRF-AS1
ENSG00000281974,1.199,10,
ENSG00000271880,3.078,10,AGAP11
ENSG00000119950,3.47,10,MXI1
ENSG00000237141,0.319,10,DNAJC19P1
ENSG00000108176,1.221,10,DNAJC12
ENSG00000099246,4.886,10,RAB18
ENSG00000225482,0.719,10,RPS6P14
ENSG00000236993,1.01,10,GAPDHP21
ENSG00000138166,2.477,10,DUSP5
ENSG00000285737,3.626,10,
ENSG00000151632,3.756,10,AKR1C2
ENSG00000229711,0.636,10,
ENSG00000148584,9.221,10,A1CF
ENSG00000224251,0.425,10,
ENSG00000075891,0.507,10,PAX2
ENSG00000272892,1.222,10,
ENSG00000219932,0.58,10,RPL12P8
ENSG00000096717,4.107,10,SIRT1
ENSG00000233518,0.74,10,RPL7P35
ENSG00000119906,6.892,10,SLF2
ENSG00000151892,9.109,10,GFRA1
ENSG00000204147,3.715,10,ASAH2B
ENSG00000214067,0.468,10,
ENSG00000228417,0.47,10,
ENSG00000272572,1.637,10,
ENSG00000196139,0.859,10,AKR1C3
ENSG00000285587,2.848,10,
ENSG00000182645,1.679,10,CCDC172
ENSG00000270541,0.358,10,
ENSG00000122952,1.857,10,ZWINT
ENSG00000150051,3.846,10,MKX
ENSG00000230500,0.6,10,MKX-AS1
ENSG00000108055,4.114,10,SMC3
ENSG00000205433,0.22,10,SNRPGP6
ENSG00000271573,0.294,10,
ENSG00000203837,2.374,10,PNLIPRP3
ENSG00000227096,0.577,10,HMGB3P8
ENSG00000148843,6.467,10,PDCD11
ENSG00000225418,0.609,10,AKR1C5P
ENSG00000169126,0.645,10,ARMC4
ENSG00000226016,0.305,10,RPL36AP55
ENSG00000225652,0.701,10,KCNMA1-AS3
ENSG00000224500,0.418,10,
ENSG00000156113,11.4,10,KCNMA1
ENSG00000175535,1.483,10,PNLIP
ENSG00000122376,0.969,10,SHLD2
ENSG00000237280,0.688,10,
ENSG00000148672,3.3,10,GLUD1
ENSG00000235810,0.269,10,
ENSG00000223841,1.884,10,
ENSG00000270192,0.709,10,MRPS35P3
ENSG00000232115,0.457,10,
ENSG00000151151,6.093,10,IPMK
ENSG00000180221,0.496,10,TPT1P10
ENSG00000260589,2.595,10,STAM-AS1
ENSG00000122873,2.375,10,CISD1
ENSG00000228527,0.328,10,
ENSG00000261076,1.417,10,
ENSG00000138347,4.596,10,MYPN
ENSG00000072401,2.623,10,UBE2D1
ENSG00000236710,0.73,11,
ENSG00000254645,0.993,11,
ENSG00000254695,0.471,11,
ENSG00000254661,0.528,11,
ENSG00000182208,3.174,11,MOB2
ENSG00000247151,0.568,11,CSTF3-DT
ENSG00000280798,3.306,11,LINC00294
ENSG00000176102,0.592,11,CSTF3
ENSG00000213713,0.895,11,PIGCP1
ENSG00000176148,0.739,11,TCP11L1
ENSG00000254680,0.5,11,
ENSG00000254983,0.384,11,
ENSG00000133816,0.589,11,MICAL2
ENSG00000241950,0.442,11,RPL29P23
ENSG00000285816,4.256,11,
ENSG00000014138,3.544,11,POLA2
ENSG00000166387,0.484,11,PPFIBP2
ENSG00000279269,0.594,11,
ENSG00000149798,1.963,11,CDC42EP2
ENSG00000256281,0.294,11,
ENSG00000257087,0.516,11,
ENSG00000109861,1.87,11,CTSC
ENSG00000233737,0.145,11,
ENSG00000255233,0.4,11,
ENSG00000233930,0.57,11,KRTAP5-AS1
ENSG00000279684,2.275,11,
ENSG00000205869,0.942,11,KRTAP5-1
ENSG00000205867,1.118,11,KRTAP5-2
ENSG00000255903,0.195,11,RPL12P46
ENSG00000184545,4.824,11,DUSP8
ENSG00000255689,0.376,11,
ENSG00000255599,0.479,11,
ENSG00000260254,8.4,11,
ENSG00000246100,3.322,11,LINC00900
ENSG00000077458,3.932,11,FAM76B
ENSG00000256717,0.574,11,
ENSG00000279818,2.801,11,
ENSG00000279771,2.25,11,
ENSG00000270969,1.003,11,
ENSG00000166037,1.647,11,CEP57
ENSG00000166483,3.588,11,WEE1
ENSG00000250508,3.252,11,
ENSG00000110675,1.832,11,ELMOD1
ENSG00000254758,0.66,11,
ENSG00000255483,0.49,11,
ENSG00000254864,0.55,11,
ENSG00000257067,0.548,11,
ENSG00000244259,0.606,11,
ENSG00000196224,0.899,11,KRTAP5-3
ENSG00000241598,1.181,11,KRTAP5-4
ENSG00000185940,0.933,11,KRTAP5-5
ENSG00000068971,0.563,11,PPP2R5B
ENSG00000231487,0.588,11,
ENSG00000205866,1.432,11,FAM99A
ENSG00000239600,0.387,11,
ENSG00000236437,0.921,11,LINC02151
ENSG00000278945,0.1,11,
ENSG00000237937,0.583,11,
ENSG00000149735,0.752,11,GPHA2
ENSG00000243964,0.468,11,RPL23AP65
ENSG00000255463,0.352,11,
ENSG00000239470,0.483,11,
ENSG00000188162,8.778,11,OTOG
ENSG00000165325,1.964,11,DEUP1
ENSG00000168070,0.333,11,MAJIN
ENSG00000149743,0.865,11,TRPT1
ENSG00000168062,2.066,11,BATF2
ENSG00000149781,1.006,11,FERMT3
ENSG00000231548,2.602,11,OR55B1P
ENSG00000254480,0.462,11,
ENSG00000255387,1.738,11,
ENSG00000256116,0.923,11,
ENSG00000110025,1.908,11,SNX15
ENSG00000149761,0.746,11,NUDT22
ENSG00000284018,0.585,11,SSU72P5
ENSG00000284306,0.585,11,SSU72P2
ENSG00000110011,1.288,11,DNAJC4
ENSG00000236175,0.488,11,SSU72P6
ENSG00000283873,0.585,11,SSU72P4
ENSG00000284546,0.585,11,SSU72P3
ENSG00000284438,0.585,11,SSU72P7
ENSG00000221996,1.124,11,OR52B4
ENSG00000175800,0.928,11,OR52B3P
ENSG00000270775,0.8,11,
ENSG00000205865,1.067,11,FAM99B
ENSG00000213465,0.932,11,ARL2
ENSG00000132109,0.706,11,TRIM21
ENSG00000227306,0.587,11,
ENSG00000205864,0.561,11,KRTAP5-6
ENSG00000273003,2.392,11,ARL2-SNX15
ENSG00000254675,0.277,11,
ENSG00000151366,2.168,11,NDUFC2
ENSG00000259112,0.566,11,NDUFC2-KCTD14
ENSG00000197702,3.345,11,PARVA
ENSG00000254829,0.686,11,
ENSG00000151365,1.174,11,THRSP
ENSG00000151364,1.673,11,KCTD14
ENSG00000255521,1.102,11,
ENSG00000249489,1.045,11,GAPDHP70
ENSG00000168959,4.475,11,GRM5
ENSG00000255082,4.821,11,GRM5-AS1
ENSG00000172890,0.963,11,NADSYN1
ENSG00000170290,0.906,11,SLN
ENSG00000254847,0.519,11,
ENSG00000137656,0.947,11,BUD13
ENSG00000250644,2.228,11,
ENSG00000110696,0.813,11,C11orf58
ENSG00000133789,3.538,11,SWAP70
ENSG00000235027,2.015,11,
ENSG00000244242,3.807,11,IFITM10
ENSG00000166002,0.889,11,SMCO4
ENSG00000254878,0.197,11,
ENSG00000213785,0.588,11,AKR1B1P3
ENSG00000234106,0.349,11,SRP14P2
ENSG00000110693,8.808,11,SOX6
ENSG00000117984,2.055,11,CTSD
ENSG00000257075,0.626,11,RPEP6
ENSG00000110203,0.749,11,FOLR3
ENSG00000254924,0.32,11,
ENSG00000149150,2.514,11,SLC43A1
ENSG00000118363,2.691,11,SPCS2
ENSG00000279454,0.857,11,
ENSG00000278953,0.483,11,
ENSG00000255515,0.574,11,
ENSG00000171999,0.955,11,OR52P2P
ENSG00000225101,2.16,11,OR52K3P
ENSG00000109917,6.539,11,ZPR1
ENSG00000181963,1.067,11,OR52K2
ENSG00000237272,0.952,11,OR51R1P
ENSG00000229512,0.252,11,
ENSG00000168060,0.69,11,NAALADL1
ENSG00000241255,0.402,11,
ENSG00000256518,0.609,11,
ENSG00000196778,5.456,11,OR52K1
ENSG00000226616,0.959,11,OR52M2P
ENSG00000197790,0.954,11,OR52M1
ENSG00000110195,1.13,11,FOLR1
ENSG00000171987,0.654,11,C11orf40
ENSG00000226288,6.591,11,OR52I2
ENSG00000232268,2.961,11,OR52I1
ENSG00000133884,3.714,11,DPF2
ENSG00000255860,0.718,11,
ENSG00000204971,0.477,11,
ENSG00000226645,0.419,11,
ENSG00000168061,1.362,11,SAC3D1
ENSG00000254702,1.599,11,
ENSG00000254586,0.602,11,
ENSG00000255335,0.556,11,
ENSG00000129152,1.803,11,MYOD1
ENSG00000068976,2.152,11,PYGM
ENSG00000167333,3.324,11,TRIM68
ENSG00000162139,5.929,11,NEU3
ENSG00000255448,0.688,11,
ENSG00000129159,7.965,11,KCNC1
ENSG00000129167,5.325,11,TPH1
ENSG00000077498,2.062,11,TYR
ENSG00000110660,2.769,11,SLC35F2
ENSG00000129158,0.44,11,SERGEF
ENSG00000197692,0.502,11,CBX3P7
ENSG00000279297,0.483,11,
ENSG00000279603,0.769,11,
ENSG00000110422,3.668,11,HIPK3
ENSG00000042429,2.627,11,MED17
ENSG00000240652,0.345,11,
ENSG00000254765,1.047,11,
ENSG00000255476,0.586,11,
ENSG00000133812,7.439,11,SBF2
ENSG00000165457,1.242,11,FOLR2
ENSG00000224411,2.196,11,HSP90AA2P
ENSG00000179331,1.885,11,RAB39A
ENSG00000245522,2.311,11,
ENSG00000254865,0.522,11,
ENSG00000254719,0.208,11,
ENSG00000246273,2.709,11,SBF2-AS1
ENSG00000173825,2.028,11,TIGD3
ENSG00000255478,0.564,11,
ENSG00000162241,2.053,11,SLC25A45
ENSG00000173511,1.38,11,VEGFB
ENSG00000284057,2.993,11,
ENSG00000182919,4.094,11,C11orf54
ENSG00000134809,0.668,11,TIMM10
ENSG00000254688,0.489,11,
ENSG00000187079,9.417,11,TEAD1
ENSG00000159063,0.714,11,ALG8
ENSG00000255067,0.419,11,
ENSG00000203258,0.566,11,
ENSG00000214872,1.649,11,SMTNL1
ENSG00000213697,1.229,11,CTBP2P6
ENSG00000246250,2.19,11,
ENSG00000283217,0.689,11,
ENSG00000283375,0.289,11,
ENSG00000283341,0.771,11,
ENSG00000283483,0.804,11,
ENSG00000149084,0.559,11,HSD17B12
ENSG00000167992,3.368,11,VWCE
ENSG00000156587,1.573,11,UBE2L6
ENSG00000254911,0.353,11,SCARNA9
ENSG00000166012,2.54,11,TAF1D
ENSG00000240371,0.789,11,RPS4XP13
ENSG00000173486,0.637,11,FKBP2
ENSG00000283393,0.468,11,
ENSG00000235661,0.897,11,MIR670HG
ENSG00000254512,0.806,11,PHBP2
ENSG00000243721,0.471,11,RPL23AP63
ENSG00000286264,1.606,11,
ENSG00000213333,0.867,11,NPM1P50
ENSG00000171561,8.795,11,OR2AT4
ENSG00000234611,0.905,11,OR2AT2P
ENSG00000284722,6.658,11,
ENSG00000149131,0.648,11,SERPING1
ENSG00000166004,8.014,11,CEP295
ENSG00000251381,1.121,11,LINC00958
ENSG00000137491,0.582,11,SLCO2B1
ENSG00000257086,0.853,11,
ENSG00000173457,0.6,11,PPP1R14B
ENSG00000279696,3.152,11,
ENSG00000256940,0.391,11,
ENSG00000176343,0.276,11,RPL37AP8
ENSG00000197428,3.561,11,OR51D1
ENSG00000165458,0.375,11,INPPL1
ENSG00000254475,0.743,11,OR2AT1P
ENSG00000255395,0.56,11,
ENSG00000180785,3.05,11,OR51E1
ENSG00000230834,0.338,11,
ENSG00000230980,0.318,11,RPL36AP39
ENSG00000230080,1.207,11,
ENSG00000244411,1.408,11,KRTAP5-7
ENSG00000241233,1.183,11,KRTAP5-8
ENSG00000255094,0.806,11,
ENSG00000254997,1.136,11,
ENSG00000254670,0.67,11,
ENSG00000189431,2.53,11,RASSF10
ENSG00000255558,0.467,11,
ENSG00000255018,0.149,11,
ENSG00000165462,0.928,11,PHOX2A
ENSG00000121621,3.417,11,KIF18A
ENSG00000126391,3.685,11,FRMD8
ENSG00000255202,0.648,11,
ENSG00000110427,3.201,11,KIAA1549L
ENSG00000255207,0.298,11,
ENSG00000254537,0.39,11,
ENSG00000255443,0.587,11,CD44-AS1
ENSG00000026508,4.589,11,CD44
ENSG00000180723,0.911,11,OR51A9P
ENSG00000167332,2.626,11,OR51E2
ENSG00000197674,1.444,11,OR51C1P
ENSG00000176900,0.984,11,OR51T1
ENSG00000198217,3.046,11,OR51H2P
ENSG00000284969,0.572,11,
ENSG00000167346,0.415,11,MMP26
ENSG00000205177,0.811,11,C11orf91
ENSG00000085063,7.724,11,CD59
ENSG00000225003,0.942,11,OR51A5P
ENSG00000272664,0.948,11,OR51C4P
ENSG00000272634,0.942,11,OR51F5P
ENSG00000205496,0.942,11,OR51A2
ENSG00000176925,0.993,11,OR51F2
ENSG00000280021,0.939,11,OR51F1
ENSG00000254602,0.567,11,
ENSG00000176951,0.952,11,OR51N1P
ENSG00000279270,0.948,11,OR52R1
ENSG00000166793,1.912,11,YPEL4
ENSG00000197984,1.038,11,OR51A8P
ENSG00000197023,1.004,11,OR51A6P
ENSG00000205497,4.393,11,OR51A4
ENSG00000184669,1.29,11,OR7E14P
ENSG00000273051,0.899,11,OR51F4P
ENSG00000231070,0.828,11,OR52Y1P
ENSG00000271602,1.432,11,KRT8P49
ENSG00000244398,0.321,11,
ENSG00000176904,0.955,11,OR51H1
ENSG00000176893,3.326,11,OR51G2
ENSG00000166689,3.273,11,PLEKHA7
ENSG00000176895,2.186,11,OR51A7
ENSG00000272559,0.901,11,OR51F3P
ENSG00000176922,1.75,11,OR51S1
ENSG00000278870,0.966,11,OR51G1
ENSG00000227023,0.924,11,OR51A3P
